seqnames	start	end	strand	gene	ENTREZID	product	gbkey
1	9775563	9776753	+	LOC105243859	105243859	uncharacterized LOC105243859, transcript variant X6	ncRNA
1	9798130	9798246	+	Sgk3	170755	serum/glucocorticoid regulated kinase 3, transcript variant 1	mRNA
1	9802108	9806974	-	Gm6195	620986	NA	exon
1	9901944	9902558	+	Gm2352	100039643	NA	exon
1	9906159	9911812	+	Mcmdc2	240697	minichromosome maintenance domain containing 2, transcript variant X6	misc_RNA
1	9944020	9944118	-	Snhg6	73824	small nucleolar RNA host gene 6	ncRNA
1	9942470	9942543	-	Snord87	266793	small nucleolar RNA, C/D box 87	ncRNA
1	9967724	9968436	-	Tcf24	100039596	transcription factor 24, transcript variant X2	mRNA
1	10009072	10009136	-	Ppp1r42	69312	protein phosphatase 1, regulatory subunit 42, transcript variant 2	mRNA
1	10037919	10038159	-	Cops5	26754	COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana), transcript variant 2	mRNA
1	10038218	10038344	+	Cspp1	211660	centrosome and spindle pole associated protein 1	mRNA
1	10232371	10232670	-	Arfgef1	211673	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	mRNA
1	10719612	10720051	-	Cpa6	329093	carboxypeptidase A6, transcript variant X1	mRNA
1	10694415	10694419	+	Gm15603	102636010	NA	exon
1	10993273	10993909	+	Prex2	109294	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2, transcript variant X1	mRNA
1	11414105	11414637	+	A830018L16Rik	320492	RIKEN cDNA A830018L16 gene, transcript variant 1	mRNA
1	11979540	11984133	+	Gm30898	102632954	predicted gene, 30898, transcript variant X2	ncRNA
1	12060848	12061033	-	Gm30974	102633057	predicted gene, 30974	ncRNA
1	12120939	12122032	+	Gm7560	665262	NA	exon
1	12432383	12432474	-	LOC105243860	105243860	uncharacterized LOC105243860, transcript variant X2	ncRNA
1	12425986	12426106	+	Mir6341	102465961	microRNA 6341	precursor_RNA
1	12565560	12566590	+	Gm2383	100039709	NA	exon
1	12667563	12669092	+	Gm17644	329096	predicted gene, 17644	ncRNA
1	12691695	12692684	+	Sulf1	240725	sulfatase 1, transcript variant X1	mRNA
1	12992528	12992932	-	Slco5a1	240726	solute carrier organic anion transporter family, member 5A1, transcript variant X1	mRNA
1	13061922	13062537	+	Gm5250	383490	NA	exon
1	13104927	13104959	-	LOC105243861	105243861	uncharacterized LOC105243861	ncRNA
1	13127110	13127163	-	Prdm14	383491	PR domain containing 14	mRNA
1	13373938	13374083	-	Ncoa2	17978	nuclear receptor coactivator 2, transcript variant a	mRNA
1	13316270	13318508	+	LOC105243863	105243863	uncharacterized LOC105243863	mRNA
1	13357666	13361159	+	LOC105243862	105243862	uncharacterized LOC105243862	ncRNA
1	13422339	13422385	-	LOC105243864	105243864	uncharacterized LOC105243864	ncRNA
1	13436514	13436800	+	LOC105243872	105243872	NA	exon
1	13589600	13589910	-	Tram1	72265	translocating chain-associating membrane protein 1	mRNA
1	13660329	13660605	-	Lactb2	212442	lactamase, beta 2, transcript variant X1	mRNA
1	13668738	13668867	+	Xkr9	381246	X Kell blood group precursor related family member 9 homolog, transcript variant X2	mRNA
1	13785685	13786929	-	Gm5523	433273	predicted pseudogene 5523	misc_RNA
1	13846500	13846729	+	Gm31195	102633349	predicted gene, 31195, transcript variant X3	ncRNA
1	14042253	14042383	+	LOC105243865	105243865	uncharacterized LOC105243865, transcript variant X3	ncRNA
1	14309646	14310265	-	Eya1	14048	eyes absent 1 homolog (Drosophila), transcript variant X6	mRNA
1	14755119	14756012	-	Msc	17681	musculin, transcript variant X1	mRNA
1	14756151	14756237	+	LOC105243866	105243866	uncharacterized LOC105243866, transcript variant X5	ncRNA
1	14839267	14840273	-	Smt3h2-ps4	114607	NA	exon
1	14869758	14870038	+	Gm33500	102636435	NA	exon
1	14918725	14918862	-	Trpa1	277328	transient receptor potential cation channel, subfamily A, member 1	mRNA
1	15067033	15067297	+	Gm5048	269105	NA	exon
1	15201959	15202066	+	Gm19917	100503835	NA	exon
1	15268604	15269815	-	Gm10566	100039959	NA	exon
1	15287383	15287484	+	Kcnb2	98741	potassium voltage gated channel, Shab-related subfamily, member 2, transcript variant X1	mRNA
1	15794766	15794836	+	Gm31461	102633700	predicted gene, 31461	ncRNA
1	15804982	15805957	+	Terf1	21749	telomeric repeat binding factor 1, transcript variant X1	mRNA
1	15892439	15892722	-	Sbspon	226866	somatomedin B and thrombospondin, type 1 domain containing	mRNA
1	15897383	15897574	+	Gm31523	102633776	predicted gene, 31523	ncRNA
1	16053334	16053843	+	Gm7634	665434	predicted gene 7634, transcript variant X2	misc_RNA
1	16092974	16093325	-	4930444P10Rik	75799	RIKEN cDNA 4930444P10 gene, transcript variant X2	mRNA
1	16104365	16104433	-	Rpl7	19989	ribosomal protein L7	mRNA
1	16105780	16106306	+	Rdh10	98711	retinol dehydrogenase 10 (all-trans), transcript variant X1	misc_RNA
1	16520001	16520181	-	Stau2	29819	staufen (RNA binding protein) homolog 2 (Drosophila), transcript variant X1	mRNA
1	16253587	16253641	+	LOC102634042	102634042	uncharacterized LOC102634042, transcript variant X1	ncRNA
1	16619237	16619338	-	Ube2w	66799	ubiquitin-conjugating enzyme E2W (putative), transcript variant 2	mRNA
1	16591021	16593246	+	Gm31780	102634119	predicted gene, 31780	mRNA
1	16656992	16657097	-	Tceb1	67923	transcription elongation factor B (SIII), polypeptide 1, transcript variant X5	mRNA
1	16657552	16659778	+	D030040B21Rik	329101	RIKEN cDNA D030040B21 gene	ncRNA
1	16665191	16665505	+	Tmem70	70397	transmembrane protein 70, transcript variant 2	mRNA
1	16688849	16689265	-	Gm31863	102634230	predicted gene, 31863	ncRNA
1	16687851	16688169	+	Ly96	17087	lymphocyte antigen 96, transcript variant X1	mRNA
1	17097226	17097932	-	Jph1	57339	junctophilin 1, transcript variant X4	mRNA
1	17124513	17124575	-	Gm31982	102634387	predicted gene, 31982, transcript variant X2	ncRNA
1	17120597	17123279	+	Gm28783	102634310	predicted gene 28783	ncRNA
1	17145373	17145588	+	Gdap1	14545	ganglioside-induced differentiation-associated-protein 1	mRNA
1	17168402	17171961	+	Gm28784	102634541	predicted gene 28784, transcript variant X1	ncRNA
1	17202970	17203150	+	LOC105243867	105243867	uncharacterized LOC105243867, transcript variant X1	ncRNA
1	17394459	17395547	+	Gm5251	383495	NA	exon
1	17397290	17400874	-	Rbm6-ps1	108212	NA	exon
1	17428841	17429569	-	Gm6075	606716	NA	exon
1	17601901	17602042	+	Pi15	94227	peptidase inhibitor 15	mRNA
1	17637059	17641096	-	Gm28154	102634738	predicted gene 28154, transcript variant X5	ncRNA
1	17727099	17727646	-	Gm16070	102634913	predicted gene 16070	ncRNA
1	17727030	17727134	+	Crispld1	83691	cysteine-rich secretory protein LCCL domain containing 1, transcript variant X1	mRNA
1	17944430	17944776	-	LOC105243868	105243868	uncharacterized LOC105243868	ncRNA
1	17947002	17949647	+	Gm7690	665564	NA	exon
1	18145844	18145967	-	Crisp4	78081	cysteine-rich secretory protein 4, transcript variant X1	mRNA
1	18223521	18223564	-	Defb44-ps	654454	defensin beta 44, pseudogene	misc_RNA
1	18237374	18237443	-	Defb18	654460	defensin beta 18	mRNA
1	18265026	18265138	-	Defb41	77673	defensin beta 41	mRNA
1	18265026	18265138	-	Gm15386	654464	predicted gene 15386	mRNA
1	18570655	18570751	+	LOC105243869	105243869	uncharacterized LOC105243869	ncRNA
1	19075102	19075465	-	Gm15825	102635013	predicted gene 15825	ncRNA
1	19103022	19103294	+	Tfap2d	226896	transcription factor AP-2, delta	mRNA
1	19153310	19154103	-	LOC102635075	102635075	NA	exon
1	19208914	19209248	+	Tfap2b	21419	transcription factor AP-2 beta, transcript variant 1	mRNA
1	19242601	19242778	+	LOC105243870	105243870	uncharacterized LOC105243870	ncRNA
1	19606089	19606169	+	Gm32651	102635266	predicted gene, 32651, transcript variant X2	ncRNA
1	20617911	20618082	-	Pkhd1	241035	polycystic kidney and hepatic disease 1, transcript variant X1	mRNA
1	20356454	20356705	+	4930486I03Rik	75028	RIKEN cDNA 4930486I03 gene	ncRNA
1	20621670	20621734	-	LOC105243871	105243871	uncharacterized LOC105243871	ncRNA
1	20679010	20679082	+	Mir206	387202	microRNA 206	precursor_RNA
1	20682769	20682887	+	Mir133b	723817	microRNA 133b	precursor_RNA
1	20730905	20730988	+	Il17a	16171	interleukin 17A	mRNA
1	20784495	20785274	-	Il17f	257630	interleukin 17F, transcript variant X1	mRNA
1	20820131	20820213	-	Mcm3	17215	minichromosome maintenance deficient 3 (S. cerevisiae)	mRNA
1	20890108	20890473	-	6720483E21Rik	77741	RIKEN cDNA 6720483E21 gene	ncRNA
1	20890622	20890686	+	Paqr8	74229	progestin and adipoQ receptor family member VIII	mRNA
1	20951551	20951796	+	Efhc1	71877	EF-hand domain (C-terminal) containing 1, transcript variant X1	mRNA
1	21078994	21079225	-	Tram2	170829	translocating chain-associating membrane protein 2	mRNA
1	21166436	21166551	+	Tmem14a	75712	transmembrane protein 14A, transcript variant X1	mRNA
1	21181783	21182683	+	Gm2693	100040291	NA	exon
1	21193184	21195335	-	Gm32947	102635667	predicted gene, 32947, transcript variant X2	ncRNA
1	21271415	21271685	-	Gm28836	102635593	predicted gene 28836	ncRNA
1	21240585	21240659	+	Gsta3	14859	glutathione S-transferase, alpha 3, transcript variant 1	mRNA
1	21271798	21273126	+	LOC101056100	101056100	centrin-4 pseudogene	misc_RNA
1	21298041	21298312	-	Gm4956	241041	predicted gene 4956	misc_RNA
1	21341321	21341389	-	Gm21909	101056161	predicted gene, 21909, transcript variant X2	mRNA
1	21329476	21329494	+	Khdc1a	368204	KH domain containing 1A, transcript variant X1	mRNA
1	21368331	21368757	+	Khdc1c	433278	KH domain containing 1C	mRNA
1	21384160	21384230	-	Gm33147	102635938	predicted gene, 33147	ncRNA
1	21383556	21384036	+	Khdc1b	98582	KH domain containing 1B	mRNA
1	21961181	21962650	-	Kcnq5	226922	potassium voltage-gated channel, subfamily Q, member 5, transcript variant X1	mRNA
1	21511867	21513096	-	Gm7658	665489	NA	exon
1	22432772	22432843	-	Rims1	116837	regulating synaptic membrane exocytosis 1, transcript variant 5	mRNA
1	22898387	22898526	+	Gm7759	665725	predicted gene 7759	misc_RNA
1	22984817	22985263	-	Gm7761	665731	NA	exon
1	23100473	23102253	-	4933415F23Rik	66755	RIKEN cDNA 4933415F23 gene	mRNA
1	23123989	23124073	+	Gm30442	102632345	predicted gene, 30442	ncRNA
1	23235611	23235658	-	Gm29506	102632273	predicted gene 29506, transcript variant X4	ncRNA
1	23272269	23272339	+	Mir30a	387225	microRNA 30a	precursor_RNA
1	23291701	23291784	+	Mir30c-2	723964	microRNA 30c-2	precursor_RNA
1	23382815	23383175	-	Ogfrl1	70155	opioid growth factor receptor-like 1	mRNA
1	23397795	23399959	-	Gm19673	100503399	predicted gene, 19673, transcript variant X1	ncRNA
1	23479520	23480729	+	Gm7784	665782	NA	exon
1	23576379	23576552	+	LOC105243890	105243890	uncharacterized LOC105243890	ncRNA
1	23761926	23763228	+	B3gat2	280645	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	mRNA
1	23909663	23909736	-	Smap1	98366	small ArfGAP 1, transcript variant 3	misc_RNA
1	23921974	23922024	-	LOC105242388	105242388	uncharacterized LOC105242388	ncRNA
1	23978187	23978274	+	LOC105243891	105243891	uncharacterized LOC105243891, transcript variant X2	ncRNA
1	24005546	24005640	-	1110058L19Rik	68002	RIKEN cDNA 1110058L19 gene	mRNA
1	24100061	24100341	-	Fam135a	68187	family with sequence similarity 135, member A	mRNA
1	24069715	24073152	+	Gm30756	102632768	NA	exon
1	24177590	24177868	+	Col9a1	12839	collagen, type IX, alpha 1, transcript variant X1	mRNA
1	24586973	24588036	-	Col19a1	12823	collagen, type XIX, alpha 1, transcript variant X5	mRNA
1	24593931	24595489	-	Tubb4b-ps2	665829	NA	exon
1	24678544	24678816	+	Lmbrd1	68421	LMBR1 domain containing 1	mRNA
1	25011941	25012759	+	Gm9443	669171	NA	exon
1	25027516	25027593	-	LOC105243892	105243892	uncharacterized LOC105243892	ncRNA
1	25829462	25829707	-	Bai3	210933	brain-specific angiogenesis inhibitor 3	mRNA
1	25276404	25277954	-	Gm20172	100504323	predicted gene, 20172	mRNA
1	25614130	25617251	-	Gm29214	102632997	NA	exon
1	25879168	25879250	+	LOC105243893	105243893	uncharacterized LOC105243893	ncRNA
1	25903502	25903608	-	Gm31076	102633186	predicted gene, 31076	ncRNA
1	26616997	26617242	+	Gm31136	102633272	predicted gene, 31136, transcript variant X2	ncRNA
1	26687241	26687460	-	4931408C20Rik	210940	RIKEN cDNA 4931408C20 gene	mRNA
1	27884014	27884078	+	Gm5524	433281	predicted gene 5524	misc_RNA
1	28580299	28580768	-	Gm7846	665903	predicted gene 7846	misc_RNA
1	28895503	28895588	-	Gm597	210962	predicted gene 597, transcript variant X2	mRNA
1	28801035	28802802	-	Gm5697	435614	NA	exon
1	28938035	28938340	+	Gm6462	623924	NA	exon
1	29421488	29421612	+	Mir6342	102465174	microRNA 6342	precursor_RNA
1	29484524	29485934	-	Gm5525	433283	NA	exon
1	30137845	30138442	-	Gm31465	102633704	predicted gene, 31465, transcript variant X3	ncRNA
1	30262231	30262611	-	Gm31525	102633779	predicted gene, 31525	ncRNA
1	30755434	30755682	-	LOC105243894	105243894	uncharacterized LOC105243894, transcript variant X2	ncRNA
1	30502305	30502551	+	Gm31581	102633854	predicted gene, 31581	ncRNA
1	30769687	30770209	+	Gm6473	624138	NA	exon
1	30790042	30790134	-	Gm2914	100040699	NA	exon
1	30873578	30873923	-	Phf3	213109	PHD finger protein 3, transcript variant X5	mRNA
1	30873148	30873786	+	Gm7256	638995	predicted gene 7256	misc_RNA
1	30949549	30949765	-	Ptp4a1	19243	protein tyrosine phosphatase 4a1, transcript variant X1	mRNA
1	30948970	30949275	+	Gm32863	102635564	predicted gene, 32863, transcript variant X2	mRNA
1	30986164	30986988	-	Gm9458	669402	NA	exon
1	31019096	31019607	+	Gm28644	102634159	predicted gene 28644, transcript variant X4	ncRNA
1	31135137	31135201	-	Gm29669	102634473	predicted gene 29669, transcript variant X1	misc_RNA
1	31222476	31222656	-	4931428L18Rik	70988	RIKEN cDNA 4931428L18 gene	ncRNA
1	31164439	31165408	+	Gm7893	666020	NA	exon
1	31176435	31176480	+	Lgsn	266744	lengsin, lens protein with glutamine synthetase domain	mRNA
1	31222839	31224287	+	Pih1d3	74708	PIH1 domain containing 3	mRNA
1	31264847	31264989	+	Gm4850	226957	predicted pseudogene 4850	misc_RNA
1	31274902	31275458	+	Gm28645	100505265	predicted gene 28645	mRNA
1	31615304	31616843	+	Gm19680	100503415	NA	exon
1	32172688	32173008	+	Khdrbs2	170771	KH domain containing, RNA binding, signal transduction associated 2, transcript variant X1	misc_RNA
1	32519563	32520999	-	Gm9839	408192	predicted gene 9839	mRNA
1	32543546	32547293	-	Gm5415	408191	predicted gene 5415	mRNA
1	33175927	33176263	-	LOC105243895	105243895	uncharacterized LOC105243895, transcript variant X2	ncRNA
1	33354455	33354602	-	LOC105243896	105243896	uncharacterized LOC105243896, transcript variant X2	ncRNA
1	33669624	33669794	-	Prim2	19076	DNA primase, p58 subunit	mRNA
1	33481402	33481411	+	Gm29228	102634920	NA	exon
1	33518039	33527101	+	LOC105243897	105243897	uncharacterized LOC105243897	ncRNA
1	33657689	33658673	+	Gm17813	100302654	NA	exon
1	33669824	33670712	+	1700001G17Rik	67503	RIKEN cDNA 1700001G17 gene	ncRNA
1	33719780	33721589	-	Gm32229	102634710	predicted gene, 32229, transcript variant X1	misc_RNA
1	33719896	33720173	+	Rab23	19335	RAB23, member RAS oncogene family, transcript variant 1	mRNA
1	33757579	33757750	-	Bag2	213539	BCL2-associated athanogene 2	mRNA
1	33814338	33814595	-	Zfp451	98403	zinc finger protein 451, transcript variant 2	mRNA
1	33835899	33838914	-	Gm15455	433287	predicted gene 15455	mRNA
1	33907566	33907767	-	Bend6	320705	BEN domain containing 6, transcript variant X1	mRNA
1	33873724	33874756	-	LOC102634918	102634918	uncharacterized LOC102634918	ncRNA
1	33908208	33908452	+	Dst	13518	dystonin, transcript variant X5	mRNA
1	33974289	33974724	+	LOC105243899	105243899	uncharacterized LOC105243899, transcript variant X1	ncRNA
1	34117359	34117431	+	Mir6896	102466987	microRNA 6896	precursor_RNA
1	34134508	34135083	-	LOC105243898	105243898	uncharacterized LOC105243898	ncRNA
1	34433121	34433199	-	Mir5103	100628580	microRNA 5103	precursor_RNA
1	34434812	34434883	-	n-Te21	102467303	tRNA-Glu	tRNA
1	34439228	34439672	-	Ccdc115	69668	coiled-coil domain containing 115	mRNA
1	34439829	34439927	+	Imp4	27993	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	mRNA
1	34459759	34459827	-	Gm32504	102635078	predicted gene, 32504	ncRNA
1	34459746	34459916	+	Ptpn18	19253	protein tyrosine phosphatase, non-receptor type 18	mRNA
1	34474787	34475773	+	Gm32566	102635157	predicted gene, 32566, transcript variant X1	ncRNA
1	34498996	34499219	-	4930568A12Rik	75883	RIKEN cDNA 4930568A12 gene, transcript variant X2	misc_RNA
1	34498430	34498628	+	Prss39	21755	protease, serine 39	mRNA
1	34535648	34535955	+	Cfc1	12627	cripto, FRL-1, cryptic family 1	mRNA
1	34560730	34560993	-	Prss40	21756	protease, serine 40, transcript variant X3	mRNA
1	34538065	34538562	-	Gm28419	102635016	NA	exon
1	34578935	34579195	+	Amer3	211383	APC membrane recruitment 3, transcript variant X1	mRNA
1	34610989	34611969	-	Gm29730	101055845	NA	exon
1	34633535	34636210	-	AA619741	241051	expressed sequence AA619741	misc_RNA
1	34666698	34667004	-	LOC102642976	102642976	uncharacterized LOC102642976, transcript variant X5	ncRNA
1	34688465	34688842	-	Gm32920	102635632	predicted gene, 32920	ncRNA
1	34790790	34792556	-	Gm32790	102635458	predicted gene, 32790, transcript variant X5	ncRNA
1	34801722	34802001	+	Arhgef4	226970	Rho guanine nucleotide exchange factor (GEF) 4	mRNA
1	34842828	34843050	-	Fam168b	214469	family with sequence similarity 168, member B, transcript variant 3	mRNA
1	34849959	34850063	+	Plekhb2	226971	pleckstrin homology domain containing, family B (evectins) member 2, transcript variant 1	mRNA
1	34879983	34881424	-	LOC105243900	105243900	uncharacterized LOC105243900	ncRNA
1	34923475	34923519	+	Gm19430	100502882	NA	exon
1	35869588	35870039	+	1110002O04Rik	68483	RIKEN cDNA 1110002O04 gene, transcript variant X1	ncRNA
1	35942013	35942232	+	Gm33176	102635977	predicted gene, 33176	ncRNA
1	35959999	35960158	+	LOC105243901	105243901	uncharacterized LOC105243901	ncRNA
1	36010991	36011073	-	Gm33222	102636039	predicted gene, 33222, transcript variant X1	ncRNA
1	36016795	36016888	+	LOC105243902	105243902	uncharacterized LOC105243902	ncRNA
1	36065636	36066243	-	LOC105243903	105243903	uncharacterized LOC105243903, transcript variant X2	ncRNA
1	36068400	36069184	+	Hs6st1	50785	heparan sulfate 6-O-sulfotransferase 1	mRNA
1	36131836	36132321	+	Gm33280	102636118	predicted gene, 33280, transcript variant X3	ncRNA
1	36244070	36244302	-	Uggt1	320011	UDP-glucose glycoprotein glucosyltransferase 1	mRNA
1	36144252	36144313	-	Mir6897	102465540	microRNA 6897	precursor_RNA
1	36244414	36244483	+	LOC105243904	105243904	uncharacterized LOC105243904	ncRNA
1	36274373	36274459	-	Neurl3	214854	neuralized homolog 3 homolog (Drosophila), transcript variant X3	mRNA
1	36307706	36307836	+	Arid5a	214855	AT rich interactive domain 5A (MRF1-like), transcript variant X1	mRNA
1	36369105	36369193	-	Kansl3	226976	KAT8 regulatory NSL complex subunit 3, transcript variant X4	mRNA
1	36348682	36348758	-	Mir6898	102465541	microRNA 6898	precursor_RNA
1	36372199	36372375	+	Fer1l5	100534273	fer-1-like 5 (C. elegans), transcript variant X1	mRNA
1	36445050	36445271	-	Lman2l	214895	lectin, mannose-binding 2-like, transcript variant X2	mRNA
1	36461978	36462130	+	Gm33401	102636293	predicted gene, 33401	ncRNA
1	36471462	36471546	-	Gm33454	102636368	predicted gene, 33454	ncRNA
1	36471597	36473085	+	Cnnm4	94220	cyclin M4	mRNA
1	36511856	36513153	+	Cnnm3	94218	cyclin M3, transcript variant X1	mRNA
1	36536497	36536883	-	Ankrd23	78321	ankyrin repeat domain 23, transcript variant X1	mRNA
1	36547086	36547201	-	Ankrd39	109346	ankyrin repeat domain 39	mRNA
1	36558016	36558381	-	Sema4c	20353	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	mRNA
1	36682868	36683183	-	Fam178b	381337	family with sequence similarity 178, member B, transcript variant A	mRNA
1	36691487	36691689	+	Cox5b	12859	cytochrome c oxidase subunit Vb	mRNA
1	36709806	36709978	-	Actr1b	226977	ARP1 actin-related protein 1B, centractin beta, transcript variant X2	mRNA
1	36714538	36714697	+	4933424G06Rik	71166	RIKEN cDNA 4933424G06 gene	ncRNA
1	36744454	36744742	-	Gm33533	102636476	predicted gene, 33533, transcript variant X6	ncRNA
1	36761798	36761942	+	Zap70	22637	zeta-chain (TCR) associated protein kinase, transcript variant 1	mRNA
1	36939165	36939527	-	Tmem131	56030	transmembrane protein 131	mRNA
1	36957886	36958516	-	Rpl12-ps1	241053	NA	exon
1	37026591	37026645	+	Vwa3b	70853	von Willebrand factor A domain containing 3B, transcript variant X2	misc_RNA
1	37046272	37046357	-	LOC105243906	105243906	uncharacterized LOC105243906	ncRNA
1	37149980	37150509	-	LOC105243905	105243905	uncharacterized LOC105243905, transcript variant X2	ncRNA
1	37218278	37218441	+	Cnga3	12790	cyclic nucleotide gated channel alpha 3, transcript variant 1	mRNA
1	37273436	37273563	+	Gm34028	102637144	predicted gene, 34028	ncRNA
1	37299838	37300118	+	Inpp4a	269180	inositol polyphosphate-4-phosphatase, type I, transcript variant 1	mRNA
1	37333645	37335856	-	4930439A04Rik	78119	RIKEN cDNA 4930439A04 gene, transcript variant X4	ncRNA
1	37429869	37430103	-	Coa5	76178	cytochrome C oxidase assembly factor 5	mRNA
1	37430144	37430282	+	Unc50	67387	unc-50 homolog (C. elegans), transcript variant X3	mRNA
1	37540965	37541047	-	Mgat4a	269181	mannoside acetylglucosaminyltransferase 4, isoenzyme A, transcript variant X3	mRNA
1	37485851	37488605	-	4930594C11Rik	77633	RIKEN cDNA 4930594C11 gene	misc_RNA
1	37499784	37499941	-	LOC105243907	105243907	uncharacterized LOC105243907	ncRNA
1	37719570	37719811	-	2010300C02Rik	72097	RIKEN cDNA 2010300C02 gene	mRNA
1	37614507	37614567	+	LOC102637491	102637491	uncharacterized LOC102637491	ncRNA
1	37653243	37653695	+	LOC102637336	102637336	uncharacterized LOC102637336, transcript variant X4	ncRNA
1	37684985	37689400	+	LOC105243908	105243908	uncharacterized LOC105243908, transcript variant X2	ncRNA
1	37865106	37866739	-	Tsga10	211484	testis specific 10, transcript variant X10	mRNA
1	37868507	37872031	+	Lipt1	623661	lipoyltransferase 1, transcript variant X2	mRNA
1	37890160	37890411	-	Mitd1	69028	MIT, microtubule interacting and transport, domain containing 1	mRNA
1	37890498	37890584	+	Mrpl30	107734	mitochondrial ribosomal protein L30, transcript variant X2	mRNA
1	37916236	37916269	-	Lyg2	332427	lysozyme G-like 2, transcript variant X1	mRNA
1	37957735	37957759	-	Lyg1	69541	lysozyme G-like 1	mRNA
